id,source,title,link,pub_date,description
708,BBC,Keir Starmer criticises 'appalling' Bob Vylan IDF chants,https://www.bbc.com/news/articles/c33514nryy1o,"Sun, 29 Jun 2025 17:23:12 GMT","The prime minister describes the punk duo's chants calling for death to Israel's military as ""hate speech""."
709,BBC,Israel orders evacuations in northern Gaza as Trump pushes for ceasefire,https://www.bbc.com/news/articles/ckg54klnyy3o,"Sun, 29 Jun 2025 19:13:21 GMT","At least 86 people were killed as the result of Israeli attacks in the 24 hours before midday Sunday, the Hamas-run health ministry said."
710,BBC,Second 30C day for London ahead of Monday's UK heatwave peak,https://www.bbc.com/news/articles/cx2l77w5pl7o,"Sun, 29 Jun 2025 16:19:47 GMT",The temperature could climb to mid-30s on Monday as second amber alert in two weeks continues.
711,BBC,Trump says he has 'a group of very wealthy people' to buy TikTok,https://www.bbc.com/news/articles/c20nqdl5ydjo,"Sun, 29 Jun 2025 18:52:21 GMT",Trump says he thinks China's president will probably approve a sale to the unidentified group.
712,BBC,"Another Jurassic film is out, and Oasis return: What's coming up this week",https://www.bbc.com/news/articles/cjwnl9llnlno,"Sun, 29 Jun 2025 17:03:16 GMT","Also this week, Evita officially opens and The Sandman returns for season two."
713,BBC,'Stop!' - Beyoncé pauses show as flying Cadillac tilts mid-air,https://www.bbc.com/news/articles/c20nqzxn4xqo,"Sun, 29 Jun 2025 15:19:26 GMT","There were gasps from the audience as the elaborate prop, which carries her over the crowd, malfunctioned high above the ground."
714,BBC,"Iran could start enriching uranium for bomb within months, UN nuclear chief says",https://www.bbc.com/news/articles/c79qeqg89g2o,"Sun, 29 Jun 2025 10:30:51 GMT","Rafael Grossi's claim contradicts President Trump, who insists Iran's nuclear capabilities have been ""totally obliterated""."
715,BBC,Thousands in Norway told they won up to millions in lottery error,https://www.bbc.com/news/articles/c15wn70v7z8o,"Sun, 29 Jun 2025 15:04:00 GMT","Norsk Tipping's CEO resigned a day after thousands received incorrect notifications, some saying they had become millionaires."
716,BBC,Car bomb attack in Pakistan kills at least 13 soldiers,https://www.bbc.com/news/articles/cjd2z0d8772o,"Sun, 29 Jun 2025 13:33:35 GMT","Pakistan's military accuses India of backing militants behind the attack, which India denies."
717,BBC,Norris fights off Piastri for Austria win,https://www.bbc.com/sport/formula1/articles/c9qx0eyjqxpo,"Sun, 29 Jun 2025 15:36:23 GMT",Lando Norris beats McLaren team-mate Oscar Piastri to win the Austrian Grand Prix and narrow the gap in the drivers' championship.
718,BBC,Rod Stewart at Glastonbury: Old school charm from another era,https://www.bbc.com/news/articles/cd0vlymky4ko,"Sun, 29 Jun 2025 17:55:04 GMT",The star brings out several special guests and seranades Michael Eavis in a Vegas-style set.
719,BBC,In pictures: Sunday at Glastonbury Festival so far,https://www.bbc.com/news/articles/c3r9p7n5n3eo,"Sun, 29 Jun 2025 19:31:43 GMT",The final day will see Rod Stewart play the legend's slot before Olivia Rodrigo closes the Pyramid.
720,BBC,What a night in Glasto's 'Naughty Corner' looks like,https://www.bbc.com/news/articles/cvgnpgzmpeeo,"Sat, 28 Jun 2025 23:20:05 GMT","Over 20 years, Glastonbury has expanded its after-hours offering for those who dare brave it."
721,BBC,Full line-up and stage times for Sunday,https://www.bbc.com/news/articles/cx2jd8e6918o,"Sat, 28 Jun 2025 12:14:17 GMT","The UK's biggest festival kicks off this week. Here's who's playing, and a guide to the secret sets."
722,BBC,"Charli XCX, Neil Young and Scissor Sisters give Glastonbury goosebumps",https://www.bbc.com/news/articles/cj0m9r35142o,"Sun, 29 Jun 2025 00:02:06 GMT","With several headliners competing for attention, Saturday was Glastonbury's most compelling night."
723,BBC,How dog walks can become deadly when the heat rises,https://www.bbc.com/news/articles/cp3lqzgvx5ko,"Sun, 29 Jun 2025 16:44:15 GMT","Heatwaves can be dangerous for our four-legged friends, so how can you keep yours safe?"
724,BBC,"A preacher asked me out. When I turned her down, the stalking began",https://www.bbc.com/news/articles/ce3velqy9rzo,"Sun, 29 Jun 2025 05:03:11 GMT","When Jay Hulme complained about the harassment to a bishop, he was accused of witchcraft."
725,BBC,The mystery of the paedophile who hired out Disneyland,https://www.bbc.com/news/articles/c93kg14zn3zo,"Sat, 28 Jun 2025 23:41:10 GMT",Jacky Jhaj organised a fake wedding to a nine-year-old last weekend - and previously got fake fans to fawn over him on a red carpet.
726,BBC,Who have been the breakout stars at U21 Euros?,https://www.bbc.com/sport/football/articles/c2k15025w7jo,"Sun, 29 Jun 2025 16:03:37 GMT",The Under-21 European Championships pave the way for many future stars - BBC Sport takes a look at who stood out this year.
727,BBC,I feel like I've been gaslit - like the life I had before the war was made up,https://www.bbc.com/news/articles/cn81rdvdm9jo,"Sat, 28 Jun 2025 23:21:14 GMT",The private thoughts and reflections of a young woman whose life has altered course because of the war in Gaza.
728,BBC,Emma is doing something she swore she never would - buying her kids vapes,https://www.bbc.com/news/articles/czdv3jq1pnyo,"Sat, 28 Jun 2025 23:21:07 GMT","One month on from the disposable vape ban, one mum says it has had little impact on her children's nicotine consumption."
729,BBC,Most Britons in a generation - home stars set for Wimbledon,https://www.bbc.com/sport/tennis/articles/cm2my49x07eo,"Sun, 29 Jun 2025 13:56:38 GMT",Wimbledon starts on Monday with 23 British players in the men's and women's singles - the most since 1984. Find out who's playing and why so many Britons are competing.
730,BBC,Motorbike convoy escorts boy to prom after dad's plea,https://www.bbc.com/news/articles/c78473rg9kzo,"Sun, 29 Jun 2025 10:31:28 GMT","Family says the large turnout of about 1,000 people had ""restored our faith in humanity"". "
731,BBC,"Make healthy food more appealing, government tells supermarkets",https://www.bbc.com/news/articles/ckg5xzpmxzgo,"Sun, 29 Jun 2025 13:42:04 GMT","Supermarkets will be challenged to sell healthier food, under a new government obesity plan."
732,BBC,People tried to lift tree that fell and killed girl,https://www.bbc.com/news/articles/c4gdr4el5vpo,"Sun, 29 Jun 2025 14:12:15 GMT",Witnesses say 40 to 50 bystanders ran to help and tried to lift the tree off two children.
733,BBC,Man arrested over murder of pregnant mother,https://www.bbc.com/news/articles/crl0j2ggr1jo,"Sun, 29 Jun 2025 14:39:09 GMT",Sarah Montgomery was a 27-year-old mother of two and was pregnant at the time of her death.
734,BBC,"Welfare U-turn means we are in 'better position', says Streeting",https://www.bbc.com/news/articles/c9w1gvdr7kko,"Sun, 29 Jun 2025 14:18:56 GMT","Health Secretary Wes Streeting said MPs raised ""substantial"" concerns over planned cuts to disability benefits."
735,BBC,Lotus has 'no plans' to close any car factory,https://www.bbc.com/news/articles/ckg31g4xld9o,"Sun, 29 Jun 2025 14:23:50 GMT",The firm's Chinese owner tells the government it is committed to the UK but said it is exploring options.
736,BBC,Man critically injured in Piccadilly Circus crash,https://www.bbc.com/news/articles/cn0z5gxnrydo,"Sun, 29 Jun 2025 12:39:06 GMT","The car landed on its roof after the collision, which happened at about 05:30 BST on Sunday."
737,BBC,BBC News app,https://www.bbc.co.uk/news/10628994,"Wed, 30 Apr 2025 14:04:28 GMT","Top stories, breaking news, live reporting, and follow news topics that match your interests"
738,BBC,Is Zohran Mamdani the Democrat’s new secret weapon?,https://www.bbc.co.uk/sounds/play/w3ct7t5k,"Fri, 27 Jun 2025 11:09:00 GMT",Why New York's mayoral race affects the rest of America
739,BBC,Music and Politics At Glastonbury,https://www.bbc.co.uk/sounds/play/p0lm40nk,"Sun, 29 Jun 2025 13:16:00 GMT","Glastonbury organisers say they are ""appalled"" by comments made by an act."
741,BBC,Have we watched Messi's final game on global stage?,https://www.bbc.com/sport/football/articles/czxe02expnwo,"Sun, 29 Jun 2025 19:30:18 GMT",Lionel Messi signs off from potentially his final game on the global stage with a heavy defeat - but he still shows some magic touches.
742,BBC,Eubank and Benn agree September rematch,https://www.bbc.com/sport/boxing/articles/c7840r590zjo,"Sun, 29 Jun 2025 16:21:41 GMT",Chris Eubank Jr will fight fellow Briton Conor Benn in a rematch in London in September.
743,BBC,Could you return a professional tennis player's serve?,https://www.bbc.com/sport/tennis/videos/cp3lq232ev1o,"Sun, 29 Jun 2025 16:31:28 GMT",BBC Sport presenter Sam Harris tries to return a serve from men's world number eight Holger Rune.
744,CNN,Netanyahu says ‘opportunities have opened up’ to free Gaza hostages following Iran operation,https://edition.cnn.com/2025/06/29/middleeast/netanyahu-hostages-opportunity-iran-intl-latam,"Published 3:22 PM EDT, Sun June 29, 2025","Prime Minister Benjamin Netanyahu said “many opportunities have opened up” following Israel’s military operations in Iran, including the possibility of bringing home the remaining hostages held in Gaza."
745,CNN,Russia’s summer offensive in Ukraine underwhelms – but Kyiv won’t be celebrating,https://edition.cnn.com/2025/06/29/europe/russia-summer-offensive-kyiv-ukraine-intl,"Updated 2:56 PM EDT, Sun June 29, 2025","For months the talk in Kyiv was of a much-anticipated Russian offensive that would aim to gobble up more of the Ukraine’s eastern regions. So far, it’s been underwhelming – but the Russians have made some gains and vastly reinforced their troop numbers in some areas."
746,CNN,UK police assess footage of Glastonbury acts over anti-Israel chants,https://edition.cnn.com/2025/06/29/uk/glastonbury-bob-vylan-kneecap-uk-police-intl,"Updated 1:14 PM EDT, Sun June 29, 2025",British police say they are reviewing comments made on stage by rap punk duo Bob Vylan and hip hop trio Kneecap at this year’s Glastonbury Festival.
747,CNN,Ukraine loses an F-16 pilot and his jet while fighting one of Russia’s biggest ever aerial attacks,https://edition.cnn.com/2025/06/29/europe/ukraine-f-16-pilot-killed-russia,"Updated 11:00 AM EDT, Sun June 29, 2025","A Ukrainian pilot was killed and his F-16 fighter jet crashed after Russia launched a huge aerial assault involving hundreds of drones and scores of missiles overnight, the Ukrainian military said on Sunday."
748,CNN,Kneecap rapper charged with terrorism offense over alleged Hezbollah flag,https://edition.cnn.com/2025/05/21/europe/kneecap-liam-ohanna-charged-latam-intl,"Updated 10:46 AM EDT, Sun June 29, 2025",A member of Irish hip hop trio Kneecap has been charged with a terrorism offense following an investigation by London’s Metropolitan Police.
749,CNN,"Israeli strike on Iranian prison killed more than 70, says Iran state-affiliated media",https://edition.cnn.com/2025/06/29/middleeast/israel-strike-iran-prison-death-toll-intl,"Published 8:51 AM EDT, Sun June 29, 2025","Israel’s attack on Evin Prison in the Iranian capital of Tehran on Monday killed 71 people, according to Mizan, the news outlet of the Iranian judiciary."
750,CNN,In pictures: The world reacts to Pope Francis’ death,https://edition.cnn.com/2025/04/21/world/gallery/pope-francis-death-reaction,"Updated 8:06 PM EDT, Sun April 27, 2025",
751,CNN,"75 years after he was kidnapped to North Korea, these sisters still hope to see their brother",https://edition.cnn.com/2025/06/27/asia/korean-war-family-separated-kidnapping-intl-hnk-dst,"Published 7:59 PM EDT, Fri June 27, 2025","Min Young-jae has not seen or heard anything about her eldest brother for 75 years. He was 19 and she was only 2 when, during the early days of the Korean War, he was kidnapped to the North."
752,CNN,"As two African nations sign a peace deal, Trump wants credit. But some fear peace may still elude them",https://edition.cnn.com/2025/06/27/africa/trump-drc-rwanda-peace-deal-intl,"Updated 4:39 PM EDT, Fri June 27, 2025","A peace agreement brokered by the White House to stem the bloodshed in the eastern Democratic Republic of Congo (DRC), where a militia allegedly backed by Rwanda occupies vast swaths of land, was signed in Washington D.C. on Friday by officials of the two African nations."
753,CNN,How authorities found a drug kingpin’s luxurious hideout in Ecuador,https://edition.cnn.com/2025/06/27/americas/ecuador-fito-druglord-bunker-capture-intl-latam,"Published 3:13 PM EDT, Fri June 27, 2025","Ecuadorian forces have revealed how they captured the country’s most-wanted man, drug lord Adolfo “Fito” Macías, more than a year after his brazen prison escape prompted the president to declare an internal armed conflict to crack down on the country’s most violent gangs."
